date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:52:19	128610/128610	---M--	200	added ('OK')	image/jpeg	date:Mon,%2029%20Jul%202019%2005:36:47%20GMT	http://tkkhalifahjogja.com/resource/doc/page/101-1805-1094-7162-Khalifah-Banner-Web.jpg	C:/Users/Yolanda%20Trisyia/Documents/template_jogja/tkkhalifahjogja.com/resource/doc/page/101-1805-1094-7162-Khalifah-Banner-Web.jpg	(from http://tkkhalifahjogja.com/)
17:52:19	14363/14363	---M--	200	added ('OK')	image/png	date:Tue,%2005%20Apr%202016%2007:30:50%20GMT	http://tkkhalifahjogja.com/resource/doc/images/logo/ontk.png	C:/Users/Yolanda%20Trisyia/Documents/template_jogja/tkkhalifahjogja.com/resource/doc/images/logo/ontk.png	(from http://tkkhalifahjogja.com/)
17:52:20	785/785	---M--	200	added ('OK')	image/png	date:Tue,%2002%20Apr%202019%2003:50:29%20GMT	http://tkkhalifahjogja.com/resource/doc/images/icon/fb-new.png	C:/Users/Yolanda%20Trisyia/Documents/template_jogja/tkkhalifahjogja.com/resource/doc/images/icon/fb-new.png	(from http://tkkhalifahjogja.com/)
17:52:20	3297/3297	---M--	200	added ('OK')	image/png	date:Tue,%2002%20Apr%202019%2003:46:26%20GMT	http://tkkhalifahjogja.com/resource/doc/images/icon/ig-new.png	C:/Users/Yolanda%20Trisyia/Documents/template_jogja/tkkhalifahjogja.com/resource/doc/images/icon/ig-new.png	(from http://tkkhalifahjogja.com/)
17:52:20	2326/2326	---M--	200	added ('OK')	image/png	date:Tue,%2002%20Apr%202019%2003:52:09%20GMT	http://tkkhalifahjogja.com/resource/doc/images/icon/wa-new.png	C:/Users/Yolanda%20Trisyia/Documents/template_jogja/tkkhalifahjogja.com/resource/doc/images/icon/wa-new.png	(from http://tkkhalifahjogja.com/)
17:52:21	4176/4176	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2017%20Sep%202015%2004:44:44%20GMT	http://tkkhalifahjogja.com/resource/js/js_public/modernizr.custom.js	C:/Users/Yolanda%20Trisyia/Documents/template_jogja/tkkhalifahjogja.com/resource/js/js_public/modernizr.custom.js	(from http://tkkhalifahjogja.com/)
17:52:22	75295/75295	---M--	200	added ('OK')	image/jpeg	date:Mon,%2023%20May%202016%2004:09:14%20GMT	http://tkkhalifahjogja.com/resource/doc/page/3994-AAB2-Icon.jpg	C:/Users/Yolanda%20Trisyia/Documents/template_jogja/tkkhalifahjogja.com/resource/doc/page/3994-AAB2-Icon.jpg	(from http://tkkhalifahjogja.com/)
17:52:22	27946/27946	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2017%20Sep%202015%2004:44:44%20GMT	http://tkkhalifahjogja.com/resource/js/js_public/jquery-ui-1.8.16.custom.min.js	C:/Users/Yolanda%20Trisyia/Documents/template_jogja/tkkhalifahjogja.com/resource/js/js_public/jquery-ui-1.8.16.custom.min.js	(from http://tkkhalifahjogja.com/)
17:52:23	3362/3362	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2017%20Sep%202015%2004:44:44%20GMT	http://tkkhalifahjogja.com/resource/js/js_public/jquery.lavalamp-1.4.min.js	C:/Users/Yolanda%20Trisyia/Documents/template_jogja/tkkhalifahjogja.com/resource/js/js_public/jquery.lavalamp-1.4.min.js	(from http://tkkhalifahjogja.com/)
17:52:24	15666/15666	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2017%20Sep%202015%2004:44:44%20GMT	http://tkkhalifahjogja.com/resource/js/js_public/jquery.jcarousel.min.js	C:/Users/Yolanda%20Trisyia/Documents/template_jogja/tkkhalifahjogja.com/resource/js/js_public/jquery.jcarousel.min.js	(from http://tkkhalifahjogja.com/)
17:52:25	39401/39401	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2017%20Sep%202015%2004:44:44%20GMT	http://tkkhalifahjogja.com/resource/js/js_public/camera.min.js	C:/Users/Yolanda%20Trisyia/Documents/template_jogja/tkkhalifahjogja.com/resource/js/js_public/camera.min.js	(from http://tkkhalifahjogja.com/)
17:52:25	2027/2027	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2017%20Sep%202015%2004:44:44%20GMT	http://tkkhalifahjogja.com/resource/js/js_public/jquery.flexnav.min.js	C:/Users/Yolanda%20Trisyia/Documents/template_jogja/tkkhalifahjogja.com/resource/js/js_public/jquery.flexnav.min.js	(from http://tkkhalifahjogja.com/)
17:52:27	36917/36917	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2006%20Oct%202015%2002:59:52%20GMT	http://tkkhalifahjogja.com/resource/js/js_public/jquery.prettyPhoto.js	C:/Users/Yolanda%20Trisyia/Documents/template_jogja/tkkhalifahjogja.com/resource/js/js_public/jquery.prettyPhoto.js	(from http://tkkhalifahjogja.com/)
17:52:27	70697/70697	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2017%20Sep%202015%2004:44:44%20GMT	http://tkkhalifahjogja.com/resource/js/js_public/video.js	C:/Users/Yolanda%20Trisyia/Documents/template_jogja/tkkhalifahjogja.com/resource/js/js_public/video.js	(from http://tkkhalifahjogja.com/)
17:52:28	14261/14261	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2017%20Sep%202015%2004:44:44%20GMT	http://tkkhalifahjogja.com/resource/js/js_public/jquery.tweet.js	C:/Users/Yolanda%20Trisyia/Documents/template_jogja/tkkhalifahjogja.com/resource/js/js_public/jquery.tweet.js	(from http://tkkhalifahjogja.com/)
17:52:28	17130/17130	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2017%20Sep%202015%2004:44:44%20GMT	http://tkkhalifahjogja.com/resource/js/js_public/themeChanger/colorpicker.js	C:/Users/Yolanda%20Trisyia/Documents/template_jogja/tkkhalifahjogja.com/resource/js/js_public/themeChanger/colorpicker.js	(from http://tkkhalifahjogja.com/)
17:52:29	28305/28305	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2023%20Mar%202016%2008:30:56%20GMT	http://tkkhalifahjogja.com/resource/js/js_public/scripts.js	C:/Users/Yolanda%20Trisyia/Documents/template_jogja/tkkhalifahjogja.com/resource/js/js_public/scripts.js	(from http://tkkhalifahjogja.com/)
